city,city_index,recommendation,recommendation2,recommendation3,recommendation4,description
ADANA,1,CHP,YSP,İYİ,,"Adana’da farklı dönemlerde CHP 5 ya da 6 vekil sınırında oldu. İYİ Parti 2 vekil çıkarıyor. YSP/HDP 1 ya da 2 vekil eşiğinde. AK Parti 4-5 vekil arasında.CHP AK Parti’den 1 sandalye daha alıp6’ya çıkabilir. AK Parti4’e düşebilir. •NisanH4 oy oranlarına göre son vekili AK Parti alıyor. Son vekile en yakın ikinci parti CHP.  Diğer partiler vekil eşiğine daha uzaklar. •CHP %0.3 puanlık bir artış gerçekleştirirse (AK Parti değişmeden) 6 MV’neçıkabiliyor. •İYİ Parti ‘nin3. vekile çıkabilmesi için ise %17.1’e yükselmesi gerekiyor (AK Parti ve CHP değişmeden). %11’e düşerse de 1’e düşüyor, CHP 6’ya çıkıyor. •TİP için ise eşik: %5.7 (CHP ve İYİ Parti yükselmeden)"
ADIYAMAN,2,YSP,CHP,,,
AFYONKARAHİSAR,3,CHP,İYİ,,,
AKSARAY,4,İYİ,,,,
AMASYA,5,CHP,,,,
ANKARA 1,6,CHP,İYİ,,,
ANKARA 2,,CHP,İYİ,,,
ANKARA 3,,CHP,İYİ,YSP,TİP,
ANTALYA,7,CHP,İYİ,TİP,YSP,
ARDAHAN,8,CHP,,,,
ARTVİN,9,CHP,,,,
AYDIN,10,CHP,İYİ,YSP,,
AĞRI,11,YSP,CHP,,,
BALIKESİR,12,CHP,İYİ,,,
BARTIN,13,CHP,,,,
BATMAN,14,YSP,,,,
BAYBURT,15,İYİ,,,,
BOLU,16,CHP,,,,
BURDUR,17,CHP,İYİ,,,
BURSA,18,CHP,İYİ,,,
BİLECİK,19,CHP,,,,
BİNGÖL,20,YSP,,,,
BİTLİS,21,YSP,,,,
DENİZLİ,22,CHP,İYİ,,,
DÜZCE,23,CHP,,,,
DİYARBAKIR,24,YSP,CHP,,,
EDİRNE,25,CHP,İYİ,,,
ELAZIĞ,26,CHP,,,,
ERZURUM,27,YSP,İYİ,,,
ERZİNCAN,28,CHP,,,,
ESKİŞEHİR,29,CHP,İYİ,,,
GAZİANTEP,30,CHP,YSP,İYİ,,
GÜMÜŞHANE,31,İYİ,,,,
GİRESUN,32,CHP,İYİ,,,
HAKKARİ,33,YSP,,,,
HATAY,34,CHP,YSP,,,
ISPARTA,35,İYİ,CHP,,,
IĞDIR,36,YSP,,,,
KAHRAMANMARAŞ,37,CHP,İYİ,,,
KARABÜK,38,CHP,,,,
KARAMAN,39,CHP,,,,
KARS,40,YSP,CHP,,,
KASTAMONU,41,CHP,,,,
KAYSERİ,42,CHP,İYİ,,,
KIRIKKALE,43,CHP,,,,
KIRKLARELİ,44,CHP,,,,
KIRŞEHİR,45,CHP,,,,
KOCAELİ,46,CHP,YSP,İYİ,,
KONYA,47,CHP,İYİ,,,
KÜTAHYA,48,CHP,,,,
KİLİS,49,CHP,,,,
MALATYA,50,CHP,,,,
MANİSA,51,CHP,İYİ,,,
MARDİN,52,YSP,,,,
MERSİN,53,CHP,YSP,İYİ,,
MUĞLA,54,CHP,,,,
MUŞ,55,YSP,,,,
NEVŞEHİR,56,CHP,,,,
NİĞDE,57,CHP,,,,
ORDU,58,CHP,İYİ,,,
OSMANİYE,59,CHP,,,,
RİZE,60,CHP,,,,
SAKARYA,61,CHP,İYİ,,,
SAMSUN,62,CHP,İYİ,,,
SİNOP,63,CHP,,,,
SİVAS,64,CHP,,,,
SİİRT,65,YSP,,,,
TEKİRDAĞ,66,CHP,İYİ,,,
TOKAT,67,CHP,,,,
TRABZON,68,CHP,,,,
TUNCELİ,69,YSP,,,,
UŞAK,70,CHP,,,,
VAN,71,YSP,CHP,,,
YALOVA,72,CHP,,,,
YOZGAT,73,İYİ,,,,
ZONGULDAK,74,CHP,,,,
ÇANAKKALE,75,CHP,İYİ,,,
ÇANKIRI,76,İYİ,,,,
ÇORUM,77,CHP,,,,
İSTANBUL 1,78,CHP,YSP,İYİ,TİP,
İSTANBUL 2,,CHP,İYİ,,,
İSTANBUL 3,,CHP,YSP,İYİ,TİP,
İZMİR 1,79,CHP,İYİ,YSP,,
İZMİR 2,,CHP,İYİ,YSP,TİP,
ŞANLIURFA,80,YSP,CHP,,,
ŞIRNAK,81,YSP,,,,
